Data,Positivi su totale tamponi molecolari in Italia,Positivi su totale tamponi molecolari in Veneto,ingressiTerapiaIntensivaInItalia,ingressiTerapiaIntensivaInVeneto,ingressi non terapia intensiva in Italia,ingressi non terapia intensiva in Veneto,Morti media regionale,Morti Veneto,Letalita italiana,Letalita Veneta
21-12-2020,12.370148710305044,25.64280750521195,-0.5714285714285714,6,-1.0975056689342404,22,19.761904761904763,47,3.524037526463122,2.4969704700554884
22-12-2020,8.444881265654228,18.882489890944736,-2.0952380952380953,4,-11.448979591836734,23,29.904761904761905,150,3.532065319085452,2.5297859722896114
23-12-2020,7.898229125875647,16.301655902491138,-3.0,1,-22.04308390022676,-12,26.333333333333332,116,3.5351668626881834,2.543539356923145
24-12-2020,9.309670394319243,16.7452212621105,-1.6666666666666667,1,-24.19047619047619,-30,24.047619047619047,112,3.5285621930237987,2.5498080789617985
25-12-2020,12.49688185172056,36.36759581881533,-0.23809523809523808,-5,-31.96825396825397,-48,21.857142857142858,94,3.518074261198982,2.5354356196122527
26-12-2020,12.788730322200971,14.238148984198645,-0.19047619047619047,9,-4.464852607709751,7,12.761904761904763,33,3.5132233298001796,2.5223858584581675
27-12-2020,14.885018119875081,25.96685082872928,0.0,5,12.342403628117914,37,14.19047619047619,52,3.5124842750095717,2.509017170021442
28-12-2020,12.499817999155516,25.652374366067313,-0.7142857142857143,-5,16.476190476190474,70,21.19047619047619,69,3.51946746474332,2.5086881865310517
29-12-2020,8.718347056082026,16.974617991177034,-0.7619047619047619,11,-13.585034013605442,-18,31.38095238095238,191,3.5322592113033844,2.559236698917871
30-12-2020,9.584430181312669,16.729228528208864,-1.0,-8,-5.535147392290249,33,27.38095238095238,112,3.5323889505583606,2.5735220315166116
31-12-2020,12.621771574804843,19.853579848616455,1.2857142857142858,3,-18.428571428571427,-13,26.428571428571427,129,3.5193715160552137,2.5756770064007877
01-01-2021,14.100073639572383,22.250520953924518,-0.09523809523809523,11,-15.82312925170068,-41,22.0,90,3.5043599627308657,2.562625637853719
02-01-2021,17.61246911007235,26.8949694085656,0.7619047619047619,0,6.766439909297053,11,17.333333333333332,46,3.5020065841553407,2.5492180488456913
03-01-2021,13.833589061316449,24.138661395086135,0.6666666666666666,-7,6.678004535147393,20,16.523809523809526,88,3.4949611356535955,2.549535557029978
04-01-2021,13.847396561229854,20.67863289894271,-0.19047619047619047,3,11.301587301587302,18,16.571428571428573,50,3.493604598558611,2.552201568856623
05-01-2021,11.382173996713691,17.7681290177061,-0.47619047619047616,-7,3.2471655328798184,-12,30.904761904761905,175,3.4987319050668333,2.5872186658867
06-01-2021,11.383793590002016,17.01112877583466,0.09523809523809523,-18,-10.405895691609977,-82,26.095238095238095,126,3.4913224444752253,2.5988638646866495
07-01-2021,14.858792001649144,20.854839645073362,0.7619047619047619,16,6.328798185941043,-18,19.714285714285715,43,3.4810105203613286,2.580670750835644
08-01-2021,12.499732652726586,19.117481096941656,0.0,-2,1.0113378684807255,-45,29.523809523809526,106,3.481449043518672,2.5872847936904875
09-01-2021,11.607085795292791,14.918908513402956,0.2857142857142857,-8,-2.238095238095238,-9,23.0,82,3.4720395275893257,2.5879169470683783
10-01-2021,13.32803846649208,14.856711915535445,1.0476190476190477,6,8.986394557823129,45,17.19047619047619,44,3.459490944616078,2.5836929080444495
11-01-2021,13.672863751418348,15.589491864375965,1.2857142857142858,3,9.616780045351474,-3,21.333333333333332,38,3.4601255296478275,2.5814995429282486
12-01-2021,10.054998199673824,13.44929728367051,-0.2857142857142857,1,4.843537414965986,14,29.333333333333332,166,3.4654748502450654,2.619766418824504
13-01-2021,8.991671844449892,9.88301946178461,-2.7142857142857144,-23,-11.60544217687075,-45,24.142857142857142,91,3.4637668410494706,2.634041663381542
14-01-2021,10.739483762493384,13.92914653784219,-1.0476190476190477,-8,-20.680272108843536,-104,24.857142857142858,101,3.4605455940835834,2.649806838101397
15-01-2021,8.216924061210278,8.315553006242995,-1.6666666666666667,-1,-14.426303854875284,-61,22.714285714285715,74,3.4570738340851115,2.665206155849617
